       attr1        attr2       output 
  0.28227992   1.39938944          0 
  0.11161692   1.56688050          1 
  2.84450929   0.01898143          1 
  0.13701283   1.21868609          1 
  0.07031140   1.09603589          1 
  1.12458640   0.65979292          0 
  1.20088180   0.32505307          0 
  2.44850475   0.07792898          1 
  0.71174094   0.49085771          0 
  1.80646399   1.72052870          0 
  0.67454566   1.04359087          0 
  0.89948787   4.18206361          0 
  0.09407403   2.11259535          1 
  0.46504947   0.02962191          1 
  1.96114491   0.83379442          0 
  0.38249014   1.94175664          0 
  1.89869550   0.87369876          0 
  0.38895380   0.44352107          0 
  0.99162329   0.79668250          0 
  1.42879198   1.36872222          0 
  1.75639947   3.14933977          0 
  0.34795980   1.52699105          0 
  2.04167295   1.10563008          0 
  1.33196645   0.08039702          1 
  0.37105433   0.17698826          0 
  3.53236080   1.11907453          0 
  1.05198002   0.83897130          0 
  0.57998661   2.79654022          0 
  0.47157170   0.50979354          0 
  0.96272400   0.90259971          0 
  1.04177356   0.32834853          0 
  0.05329836   1.07922625          1 
  2.03333005   1.64578259          0 
  0.46677643   1.32044953          0 
  0.53535279   0.78863363          0 
  1.60640219   0.03874788          1 
  0.32743380   1.34093773          0 
  0.18046959   0.01111257          1 
  0.64965973   3.24423725          0 
  0.69920307   0.57158415          0 
  0.41603674   0.78521081          0 
  1.42197158   0.37036925          0 
  0.82449243   0.15643946          0 
  1.65664426   0.42091931          0 
  0.67199755   0.95215336          0 
  0.92314002   0.21242618          0 
  0.45932732   3.49228014          1 
  0.14488132   2.40843011          1 
  0.43237023   0.72197006          0 
  0.86267273   0.87424575          0 
  0.34768969   1.91110969          0 
  1.03067593   0.17310762          0 
  0.23346337   0.13794054          0 
  0.47205212   2.84891244          0 
  3.03605997   2.11831846          0 
  1.64398316   1.45630298          0 
  0.47528385   0.40978498          0 
  0.66741684   1.63653890          0 
  2.21111625   2.62940395          0 
  3.97718335   1.11784228          0 
  1.02448838   0.69646861          0 
  0.99462142   0.07482002          1 
  1.92599590   1.57888593          0 
  0.17524171   0.42686886          0 
  2.14545205   1.38620198          0 
  5.01401101   2.30735096          0 
  1.90878258   1.37554962          0 
  0.78740436   0.12332526          0 
  0.47363574   0.22563264          0 
  0.59592743   2.47863087          0 
  1.15952493   1.75613233          0 
  0.39897576   1.17511243          0 
  0.45789996   0.04520457          1 
  1.54891091   1.04959038          0 
  0.22653431   0.25451364          0 
  0.10289178   1.30790453          1 
  0.17563803   1.43056848          1 
  2.17247011   3.42526006          0 
  1.48361359   0.98389404          0 
  1.19827456   2.15487405          0 
  3.74604007   1.10563591          0 
  0.74626431   0.44223293          0 
  1.14085099   0.14404148          1 
  1.67507775   1.13663595          0 
  0.23875801   0.34314063          0 
  0.17455912   0.65119142          0 
  0.12606047   0.27414929          0 
  2.26297571   0.84082372          0 
  0.43400584   0.08957062          0 
  0.08299387   4.65123796          1 
  0.10235418   3.27191953          1 
  0.28017053   2.67524333          1 
  1.42649723   1.13852283          0 
  0.01131205   2.41471309          1 
  0.81741200   0.71272080          0 
  0.79626132   0.45539644          0 
  0.63302545   0.98861436          0 
  0.31406399   0.46121715          0 
  1.08368833   0.32411908          0 
  1.01151066   0.02135479          1 
  2.06658503   0.34303658          0 
  1.85537836   0.12548941          1 
  0.39823584   0.01115133          1 
  1.14578783   0.56066680          0 
  1.48606529   2.15812099          0 
  3.16917486   0.86182854          0 
  1.79963364   0.26327596          1 
  0.32322867   0.11301034          0 
  0.03169124   2.49528501          1 
  0.20716741   0.69316615          0 
  1.45245116   0.41118389          0 
  0.64765165   0.69546076          0 
  0.22954761   1.53233827          1 
  1.99566310   0.13262432          1 
  0.85417737   2.15024440          0 
  0.49053277   0.08410715          0 
  0.60560104   0.06482722          1 
  0.45172693   0.26292978          0 
  0.16115693   0.46771051          0 
  1.08594713   1.60097185          0 
  0.79010415   0.51405262          0 
  2.13471707   2.21822424          0 
  0.43058600   0.13539580          0 
  1.40740245   0.46679174          0 
  0.42661448   0.18055752          0 
  0.07485439   1.51632458          1 
  2.28832925   0.00001463          1 
  0.42113452   0.05457478          1 
  0.11112627   3.90735792          1 
  0.25013941   1.44220878          0 
  3.64037967   0.39810104          1 
  1.19415739   0.32494355          0 
  0.11173662   0.28065684          0 
  0.29195440   1.52643609          0 
  0.26563442   0.31157635          0 
  0.37274962   0.84875826          0 
  1.05945458   1.31467904          0 
  0.65435054   0.05738893          1 
  1.69549769   0.67145941          0 
  2.26492598   1.05406842          0 
  0.63025148   1.51367881          0 
  1.07153612   0.08840447          1 
  0.48242302   0.12119979          0 
  1.26094640   1.23147032          0 
  0.53578809   0.00544869          1 
  0.31937373   0.09737831          0 
  1.61288677   1.64921323          0 
  1.46498714   1.86443046          0 
  0.72476666   0.17765219          0 
  0.25194525   1.63765504          1 
  5.19314807   0.31725604          1 
  0.40784405   2.63277676          1 
  2.16869748   3.58358690          0 
  0.22931855   0.23644854          0 
  0.35047313   0.34532591          0 
  0.11496384   1.10392111          1 
  0.10602323   2.13021769          1 
  0.65609916   0.21511225          0 
  2.04787082   0.54202258          0 
  3.84784254   0.12558703          1 
  0.23315840   4.86179595          1 
  0.95884510   1.15329976          0 
  2.18084138   0.92497487          0 
  0.17798885   1.01081999          0 
  0.89686684   0.16582215          0 
  0.31885241   1.23604323          0 
  1.01417802   0.96707936          0 
  1.08657139   0.04665274          1 
  1.54962721   0.04316303          1 
  1.72421823   1.95505985          0 
  0.16970922   1.17384931          1 
  2.83297861   2.58467561          0 
  0.25142345   2.35221158          1 
  0.11629797   3.48760651          1 
  1.91211615   4.11340235          0 
  1.42966080   3.53974040          0 
  0.03951280   0.37918082          1 
  0.22131826   0.32274991          0 
  1.18241096   1.91788268          0 
  0.46072196   0.95151611          0 
  2.15913223   0.12125547          1 
  0.55433604   0.28384333          0 
  1.72988133   0.56681892          0 
  1.05895158   0.57212328          0 
  0.16878093   0.77456486          0 
  1.36399834   0.02785421          1 
  0.46992446   1.99688095          0 
  1.14452113   1.85499343          0 
  0.12469238   2.59116941          1 
  0.04935151   1.70666880          1 
  1.36258754   0.26537927          0 
  0.06230382   0.01710960          0 
  0.66243700   2.72435520          0 
  0.46281805   3.31637686          1 
  2.71578041   2.13438028          0 
  0.31204613   0.05860988          0 
  0.59349424   0.09802635          0 
  1.42998255   2.63514749          0 
  0.65050866   0.55271414          0 
  2.31237557   1.65448521          0 
  0.67604045   4.00293914          0 
  0.01711037   1.55985100          1 
  0.21693310   0.79816886          0 
  0.82573222   2.57244686          0 
  1.04778539   1.00766917          0 
  0.04082929   0.04625298          0 
  1.09030866   0.61824008          0 
  0.61454124   0.57713036          0 
  0.39147548   0.85216236          0 
  0.41068892   1.62561828          0 
  0.30426634   0.04699815          0 
  0.07809207   0.12692346          0 
  1.36157889   2.18557672          0 
  2.68089063   0.73065542          0 
  0.21067750   1.95452942          1 
  1.90780425   1.33432335          0 
  0.38058521   0.07273668          0 
  0.56986840   1.04145116          0 
  0.08292667   2.40959286          1 
